40920	8.326976	0.953952	love him
14488	7.153469	1.673904	be_OK_with_him
26052	1.441871	0.805124	not_like_him
75136	13.147394	0.428964	not_like_him
38344	1.669788	0.134296	not_like_him
72993	10.141740	1.032955	not_like_him
35948	6.830792	1.213192	love him
42666	13.276369	0.543880	love him
67497	8.631577	0.749278	not_like_him
35483	12.273169	1.508053	love him
50242	3.723498	0.831917	not_like_him
63275	8.385879	1.669485	not_like_him
5569	4.875435	0.728658	be_OK_with_him
51052	4.680098	0.625224	not_like_him
77372	15.299570	0.331351	not_like_him
43673	1.889461	0.191283	not_like_him
61364	7.516754	1.269164	not_like_him
69673	14.239195	0.261333	not_like_him
15669	0.000000	1.250185	be_OK_with_him
28488	10.528555	1.304844	love him
6487	3.540265	0.822483	be_OK_with_him
37708	2.991551	0.833920	not_like_him
22620	5.297865	0.638306	be_OK_with_him
28782	6.593803	0.187108	love him
19739	2.816760	1.686209	be_OK_with_him
36788	12.458258	0.649617	love him
5741	0.000000	1.656418	be_OK_with_him
28567	9.968648	0.731232	love him
6808	1.364838	0.640103	be_OK_with_him
41611	0.230453	1.151996	not_like_him
36661	11.865402	0.882810	love him
43605	0.120460	1.352013	not_like_him
15360	8.545204	1.340429	love him
63796	5.856649	0.160006	not_like_him
10743	9.665618	0.778626	be_OK_with_him
70808	9.778763	1.084103	not_like_him
72011	4.932976	0.632026	not_like_him
5914	2.216246	0.587095	be_OK_with_him
14851	14.305636	0.632317	love him
33553	12.591889	0.686581	love him
44952	3.424649	1.004504	not_like_him
17934	0.000000	0.147573	be_OK_with_him
27738	8.533823	0.205324	love him
29290	9.829528	0.238620	love him
42330	11.492186	0.263499	love him
36429	3.570968	0.832254	not_like_him
39623	1.771228	0.207612	not_like_him
32404	3.513921	0.991854	not_like_him
27268	4.398172	0.975024	not_like_him
5477	4.276823	1.174874	be_OK_with_him
14254	5.946014	1.614244	be_OK_with_him
68613	13.798970	0.724375	not_like_him
41539	10.393591	1.663724	love him
7917	3.007577	0.297302	be_OK_with_him
21331	1.031938	0.486174	be_OK_with_him
8338	4.751212	0.064693	be_OK_with_him
5176	3.692269	1.655113	be_OK_with_him
18983	10.448091	0.267652	love him
68837	10.585786	0.329557	not_like_him
13438	1.604501	0.069064	be_OK_with_him
48849	3.679497	0.961466	not_like_him
12285	3.795146	0.696694	be_OK_with_him
7826	2.531885	1.659173	be_OK_with_him
5565	9.733340	0.977746	be_OK_with_him
10346	6.093067	1.413798	be_OK_with_him
1823	7.712960	1.054927	be_OK_with_him
9744	11.470364	0.760461	love him
16857	2.886529	0.934416	be_OK_with_him
39336	10.054373	1.138351	love him
65230	9.972470	0.881876	not_like_him
2463	2.335785	1.366145	be_OK_with_him
27353	11.375155	1.528626	love him
16191	0.000000	0.605619	be_OK_with_him
12258	4.126787	0.357501	be_OK_with_him
42377	6.319522	1.058602	not_like_him
25607	8.680527	0.086955	love him
77450	14.856391	1.129823	not_like_him
58732	2.454285	0.222380	not_like_him
46426	7.292202	0.548607	love him
32688	8.745137	0.857348	love him
